"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","64.30","63.02","64.60","63.02","1.07M","1.58%"
"Nov 26, 2020","63.30","62.95","63.52","62.47","309.74K","0.32%"
"Nov 25, 2020","63.10","62.11","63.34","61.05","1.46M","0.96%"
"Nov 24, 2020","62.50","61.80","63.61","61.18","1.84M","2.61%"
"Nov 23, 2020","60.91","59.78","61.88","59.63","1.66M","2.66%"
"Nov 20, 2020","59.33","58.56","59.63","57.95","1.01M","1.37%"
"Nov 19, 2020","58.53","57.50","58.81","57.25","1.43M","0.88%"
"Nov 18, 2020","58.02","57.60","59.25","57.10","1.16M","0.89%"
"Nov 17, 2020","57.51","56.29","57.52","55.73","1.14M","1.29%"
"Nov 16, 2020","56.78","55.76","56.86","55.17","1.31M","3.03%"
"Nov 13, 2020","55.11","54.70","55.57","54.56","915.27K","1.62%"
"Nov 12, 2020","54.23","55.35","55.74","53.99","853.08K","-2.32%"
"Nov 11, 2020","55.52","55.45","56.12","54.89","1.24M","0.89%"
"Nov 10, 2020","55.03","53.20","55.09","52.92","1.19M","3.32%"
"Nov 09, 2020","53.26","54.00","55.21","52.26","1.26M","2.60%"
"Nov 06, 2020","51.91","52.92","53.10","51.65","738.22K","-1.44%"
"Nov 05, 2020","52.67","51.20","52.80","50.67","1.42M","4.11%"
"Nov 04, 2020","50.59","50.65","51.29","49.88","2.09M","0.10%"
"Nov 03, 2020","50.54","53.00","53.00","50.43","2.47M","-8.11%"
"Nov 02, 2020","55.00","54.20","55.23","54.03","897.93K","1.55%"
"Oct 30, 2020","54.16","54.17","54.53","53.48","1.00M","-0.71%"
"Oct 29, 2020","54.55","53.41","54.79","53.13","1.04M","2.00%"
"Oct 28, 2020","53.48","52.50","54.06","52.26","1.83M","0.53%"
"Oct 27, 2020","53.20","53.45","54.02","53.12","818.68K","-0.99%"
"Oct 26, 2020","53.73","54.30","54.50","53.48","1.53M","-1.54%"
"Oct 23, 2020","54.57","55.14","55.39","54.15","851.44K","-0.69%"
"Oct 22, 2020","54.95","54.82","55.42","54.53","1.01M","0.24%"
"Oct 21, 2020","54.82","53.09","55.00","52.71","1.78M","3.08%"
"Oct 20, 2020","53.18","53.13","53.79","52.78","1.89M","0.80%"
"Oct 19, 2020","52.76","53.11","53.78","52.73","1.95M","-0.42%"
"Oct 16, 2020","52.98","53.30","53.88","52.98","1.63M","-0.28%"
"Oct 15, 2020","53.13","52.00","53.28","51.72","1.32M","1.03%"
"Oct 14, 2020","52.59","52.58","53.31","52.52","2.01M","-0.06%"
"Oct 13, 2020","52.62","53.26","53.64","52.57","1.98M","-2.19%"
"Oct 09, 2020","53.80","53.86","54.25","53.36","2.15M","-0.02%"
"Oct 08, 2020","53.81","53.83","53.98","53.11","2.14M","0.39%"
"Oct 07, 2020","53.60","54.15","54.15","53.25","970.65K","0.51%"
"Oct 06, 2020","53.33","54.75","54.88","53.13","1.70M","-1.80%"
"Oct 05, 2020","54.31","51.88","54.35","51.83","3.44M","5.50%"
"Oct 02, 2020","51.48","50.00","51.68","50.00","1.13M","1.76%"
"Oct 01, 2020","50.59","52.18","52.20","50.39","2.24M","-3.10%"
"Sep 30, 2020","52.21","51.82","52.72","51.46","2.11M","1.28%"
"Sep 29, 2020","51.55","52.89","53.01","51.47","578.90K","-3.43%"
"Sep 28, 2020","53.38","53.89","54.54","53.31","2.92M","0.39%"
"Sep 25, 2020","53.17","52.83","53.25","52.23","1.45M","0.08%"
"Sep 24, 2020","53.13","52.74","53.46","52.30","564.41K","0.49%"
"Sep 23, 2020","52.87","54.09","54.77","52.65","803.26K","-2.07%"
"Sep 22, 2020","53.99","53.26","54.24","53.20","1.39M","1.31%"
"Sep 21, 2020","53.29","53.68","53.69","52.44","2.08M","-3.09%"
"Sep 18, 2020","54.99","53.83","55.40","53.83","5.04M","2.29%"
"Sep 17, 2020","53.76","52.51","54.04","52.35","2.48M","1.64%"
"Sep 16, 2020","52.89","52.77","53.54","52.49","1.48M","0.47%"
"Sep 15, 2020","52.64","52.62","52.93","52.04","1.17M","0.46%"
"Sep 14, 2020","52.40","52.49","53.41","52.10","2.62M","0.06%"
"Sep 11, 2020","52.37","50.45","52.44","50.45","1.66M","4.01%"
"Sep 10, 2020","50.35","50.06","50.68","49.77","1.24M","0.66%"
"Sep 09, 2020","50.02","49.21","50.31","49.08","2.24M","2.42%"
"Sep 08, 2020","48.84","49.09","49.30","48.30","3.55M","-0.75%"
"Sep 04, 2020","49.21","49.22","49.90","49.00","1.55M","0.43%"
"Sep 03, 2020","49.00","50.11","50.33","48.37","1.03M","-2.04%"
"Sep 02, 2020","50.02","49.17","50.13","49.15","1.68M","2.00%"
"Sep 01, 2020","49.04","48.10","49.04","47.72","1.27M","1.51%"
"Aug 31, 2020","48.31","48.75","48.76","48.01","1.63M","-0.90%"
"Aug 28, 2020","48.75","49.19","49.22","48.11","912.85K","-0.79%"
"Aug 27, 2020","49.14","50.24","50.24","49.04","793.86K","-1.90%"
"Aug 26, 2020","50.09","50.21","50.43","49.67","638.98K","0.02%"
"Aug 25, 2020","50.08","51.14","51.34","49.88","765.24K","-3.00%"
"Aug 24, 2020","51.63","49.72","52.12","49.65","1.32M","4.88%"
"Aug 21, 2020","49.23","50.29","50.47","49.18","1.04M","-2.42%"
"Aug 20, 2020","50.45","51.10","51.10","50.19","778.84K","-1.79%"
"Aug 19, 2020","51.37","52.07","52.25","51.27","598.10K","-1.46%"
"Aug 18, 2020","52.13","51.61","52.64","51.48","1.00M","1.36%"
"Aug 17, 2020","51.43","51.21","51.86","50.71","502.25K","0.98%"
"Aug 14, 2020","50.93","50.75","51.70","50.65","650.46K","-0.25%"
"Aug 13, 2020","51.06","50.97","51.55","50.35","1.12M","-0.06%"
"Aug 12, 2020","51.09","51.59","52.30","51.04","1.05M","-0.20%"
"Aug 11, 2020","51.19","49.50","51.58","49.27","1.62M","4.47%"
"Aug 10, 2020","49.00","47.50","49.01","47.46","992.14K","3.27%"
"Aug 07, 2020","47.45","46.80","47.47","46.39","600.08K","1.26%"
"Aug 06, 2020","46.86","47.41","47.63","46.63","838.38K","-1.29%"
"Aug 05, 2020","47.47","46.94","47.59","46.56","1.29M","1.93%"
"Aug 04, 2020","46.57","44.41","46.58","44.38","1.75M","6.76%"
"Jul 31, 2020","43.62","44.47","44.47","43.15","1.58M","-2.70%"
"Jul 30, 2020","44.83","44.15","44.84","43.67","930.14K","0.22%"
"Jul 29, 2020","44.73","44.36","44.87","43.93","602.33K","1.06%"
"Jul 28, 2020","44.26","44.43","44.65","43.62","907.58K","-0.74%"
"Jul 27, 2020","44.59","43.88","44.68","43.70","1.33M","1.34%"
"Jul 24, 2020","44.00","44.45","44.51","43.70","2.71M","-1.10%"
"Jul 23, 2020","44.49","44.49","45.31","44.22","1.84M","0.20%"
"Jul 22, 2020","44.40","44.27","44.67","44.04","1.28M","0.25%"
"Jul 21, 2020","44.29","44.25","44.80","44.19","1.23M","0.70%"
"Jul 20, 2020","43.98","45.00","45.38","43.96","2.69M","-2.42%"
"Jul 17, 2020","45.07","45.39","45.82","45.07","1.91M","-0.49%"
"Jul 16, 2020","45.29","45.26","45.68","44.88","1.43M","-0.48%"
"Jul 15, 2020","45.51","45.37","46.24","45.37","1.79M","1.34%"
"Jul 14, 2020","44.91","45.09","45.36","44.62","2.14M","-0.84%"
"Jul 13, 2020","45.29","43.94","45.53","43.94","1.86M","4.94%"
"Jul 10, 2020","43.16","42.43","43.26","42.30","1.39M","1.55%"
"Jul 09, 2020","42.50","43.00","43.00","41.50","1.89M","-1.00%"
"Jul 08, 2020","42.93","44.49","44.49","42.70","1.69M","-3.18%"
"Jul 07, 2020","44.34","44.85","45.03","44.32","1.56M","-1.47%"
"Jul 06, 2020","45.00","45.02","45.45","44.52","2.46M","0.81%"
"Jul 03, 2020","44.64","44.25","45.00","44.24","1.85M","1.22%"
"Jul 02, 2020","44.10","44.55","44.87","43.80","2.09M","1.10%"
"Jun 30, 2020","43.62","44.31","44.44","43.42","2.23M","-2.11%"
"Jun 29, 2020","44.56","44.81","45.36","44.40","2.54M","-1.20%"
"Jun 26, 2020","45.10","45.84","46.08","44.81","8.68M","-1.83%"
"Jun 25, 2020","45.94","45.57","45.98","45.12","1.50M","0.50%"
"Jun 24, 2020","45.71","47.55","47.76","45.57","2.33M","-4.13%"
"Jun 23, 2020","47.68","48.68","48.83","47.64","1.71M","-1.04%"
"Jun 22, 2020","48.18","48.36","48.38","47.73","2.50M","-0.90%"
"Jun 19, 2020","48.62","49.64","49.76","48.37","5.85M","-1.36%"
"Jun 18, 2020","49.29","49.59","49.78","48.88","1.38M","-0.98%"
"Jun 17, 2020","49.78","50.25","50.47","49.64","1.44M","-0.58%"
"Jun 16, 2020","50.07","50.62","50.77","49.57","2.25M","2.04%"
"Jun 15, 2020","49.07","48.29","49.45","48.14","1.89M","-0.41%"
"Jun 12, 2020","49.27","49.50","50.22","48.67","1.58M","1.69%"
"Jun 11, 2020","48.45","49.30","49.45","48.10","1.80M","-4.08%"
"Jun 10, 2020","50.51","51.38","51.38","50.33","1.52M","-1.60%"
"Jun 09, 2020","51.33","51.68","51.68","50.82","1.45M","-1.65%"
"Jun 08, 2020","52.19","51.90","52.47","51.28","1.79M","1.58%"
"Jun 05, 2020","51.38","50.70","51.57","50.57","2.54M","3.71%"
"Jun 04, 2020","49.54","50.49","50.56","49.32","1.76M","-2.42%"
"Jun 03, 2020","50.77","49.80","50.78","49.72","1.48M","3.02%"
"Jun 02, 2020","49.28","47.83","49.65","47.45","1.89M","3.64%"
"Jun 01, 2020","47.55","46.79","47.96","46.52","1.36M","1.17%"
"May 29, 2020","47.00","47.14","47.43","46.50","2.34M","-0.95%"
"May 28, 2020","47.45","47.91","47.91","46.70","1.12M","-0.32%"
"May 27, 2020","47.60","46.71","47.74","46.69","1.28M","2.85%"
"May 26, 2020","46.28","46.92","47.28","46.25","906.99K","-0.26%"
"May 25, 2020","46.40","46.42","46.50","45.80","233.47K","0.78%"
"May 22, 2020","46.04","45.59","46.13","45.08","658.33K","1.21%"
"May 21, 2020","45.49","44.96","45.79","44.80","871.46K","1.45%"
"May 20, 2020","44.84","45.87","46.00","44.65","914.91K","-0.66%"
"May 19, 2020","45.14","46.30","46.36","44.97","1.05M","0.98%"
"May 15, 2020","44.70","44.25","45.36","44.15","735.64K","0.90%"
"May 14, 2020","44.30","43.30","44.38","41.98","1.22M","0.41%"
"May 13, 2020","44.12","46.26","46.29","43.78","1.63M","-4.89%"
"May 12, 2020","46.39","48.49","48.54","46.36","1.09M","-4.31%"
"May 11, 2020","48.48","48.62","48.94","47.38","926.97K","-1.86%"
"May 08, 2020","49.40","48.75","50.45","48.74","1.02M","2.53%"
"May 07, 2020","48.18","50.57","50.68","48.06","1.28M","-4.67%"
"May 06, 2020","50.54","50.86","51.23","50.12","778.19K","0.70%"
"May 05, 2020","50.19","50.60","51.91","49.95","1.07M","0.42%"
"May 04, 2020","49.98","48.51","50.04","48.11","906.92K","2.50%"
"May 01, 2020","48.76","48.90","49.20","48.32","721.69K","-1.91%"
"Apr 30, 2020","49.71","50.88","50.88","49.40","1.33M","-3.00%"
"Apr 29, 2020","51.25","50.68","51.63","50.21","965.09K","2.79%"
"Apr 28, 2020","49.86","50.05","50.60","48.57","1.00M","0.65%"
"Apr 27, 2020","49.54","48.78","49.71","48.16","1.33M","2.25%"
"Apr 24, 2020","48.45","48.73","49.03","48.03","2.01M","0.12%"
"Apr 23, 2020","48.39","48.92","49.12","48.24","1.01M","-0.84%"
"Apr 22, 2020","48.80","48.51","48.84","47.83","1.16M","2.54%"
"Apr 21, 2020","47.59","49.11","49.58","47.58","1.75M","-5.93%"
"Apr 20, 2020","50.59","49.46","51.67","48.88","2.37M","0.68%"
"Apr 17, 2020","50.25","49.67","50.92","49.01","1.89M","4.23%"
"Apr 16, 2020","48.21","48.87","49.05","47.58","895.48K","-1.25%"
"Apr 15, 2020","48.82","48.18","49.46","48.00","1.35M","-0.79%"
"Apr 14, 2020","49.21","49.88","51.09","48.93","2.07M","-0.71%"
"Apr 13, 2020","49.56","50.76","51.56","49.52","4.97M","-3.69%"
"Apr 09, 2020","51.46","50.53","51.86","50.34","1.10M","2.45%"
"Apr 08, 2020","50.23","49.68","50.40","48.51","2.17M","2.76%"
"Apr 07, 2020","48.88","50.00","50.74","48.55","1.32M","0.62%"
"Apr 06, 2020","48.58","47.79","48.83","47.51","2.43M","6.19%"
"Apr 03, 2020","45.75","46.44","46.95","45.39","1.36M","-1.66%"
"Apr 02, 2020","46.52","45.21","47.35","45.20","1.83M","3.47%"
"Apr 01, 2020","44.96","46.40","47.40","44.79","1.40M","-6.55%"
"Mar 31, 2020","48.11","45.95","48.29","45.75","2.52M","4.72%"
"Mar 30, 2020","45.94","43.13","45.95","42.79","1.26M","5.68%"
"Mar 27, 2020","43.47","44.73","44.88","42.21","6.27M","-5.36%"
"Mar 26, 2020","45.93","43.95","46.67","43.83","2.21M","5.27%"
"Mar 25, 2020","43.63","42.00","44.97","41.09","2.72M","4.35%"
"Mar 24, 2020","41.81","39.71","41.81","38.52","3.45M","11.43%"
"Mar 23, 2020","37.52","39.90","40.28","37.19","2.72M","-6.53%"
"Mar 20, 2020","40.14","39.88","41.83","38.95","5.27M","0.85%"
"Mar 19, 2020","39.80","36.09","40.11","35.13","1.72M","9.64%"
"Mar 18, 2020","36.30","36.81","38.55","34.80","2.43M","-3.53%"
"Mar 17, 2020","37.63","38.78","40.32","36.75","3.04M","-2.16%"
"Mar 16, 2020","38.46","39.56","40.46","37.92","2.88M","-11.30%"
"Mar 13, 2020","43.36","40.43","43.37","38.03","3.35M","11.49%"
"Mar 12, 2020","38.89","40.16","41.59","38.45","4.53M","-11.65%"
"Mar 11, 2020","44.02","45.90","45.99","43.66","2.50M","-5.23%"
"Mar 10, 2020","46.45","48.58","48.97","46.13","4.48M","-1.69%"
"Mar 09, 2020","47.25","49.39","50.62","47.19","2.22M","-8.57%"
"Mar 06, 2020","51.68","53.17","53.86","51.57","1.24M","-4.74%"
"Mar 05, 2020","54.25","54.06","54.64","53.58","2.89M","-1.04%"
"Mar 04, 2020","54.82","55.00","55.09","54.14","1.62M","0.81%"
"Mar 03, 2020","54.38","54.97","55.42","54.07","2.41M","-0.48%"
"Mar 02, 2020","54.64","55.10","56.00","53.77","2.17M","0.72%"
"Feb 28, 2020","54.25","52.07","54.28","51.90","3.04M","0.71%"
"Feb 27, 2020","53.87","53.64","54.50","52.11","1.05M","-0.02%"
"Feb 26, 2020","53.88","54.23","55.41","53.78","1.70M","-0.15%"
"Feb 25, 2020","53.96","56.10","56.50","53.75","1.95M","-3.35%"
"Feb 24, 2020","55.83","55.38","55.95","54.60","1.18M","-0.73%"
"Feb 21, 2020","56.24","57.29","57.51","56.18","1.13M","-2.02%"
"Feb 20, 2020","57.40","56.11","57.40","55.80","1.28M","3.26%"
"Feb 19, 2020","55.59","54.59","56.57","54.58","1.77M","1.83%"
"Feb 18, 2020","54.59","54.60","55.47","54.34","1.70M","-0.13%"
"Feb 14, 2020","54.66","56.64","56.92","54.55","1.67M","-3.55%"
"Feb 13, 2020","56.67","57.40","57.61","56.65","856.26K","-1.63%"
"Feb 12, 2020","57.61","57.89","58.12","57.32","1.58M","0.03%"
"Feb 11, 2020","57.59","57.38","58.00","57.20","1.09M","0.68%"
"Feb 10, 2020","57.20","57.54","57.83","57.15","734.03K","-0.64%"
"Feb 07, 2020","57.57","58.56","58.64","57.56","871.72K","-2.21%"
"Feb 06, 2020","58.87","59.24","59.36","58.62","1.26M","-0.08%"
"Feb 05, 2020","58.92","57.55","59.04","57.51","1.66M","3.40%"
"Feb 04, 2020","56.98","57.31","57.46","56.71","1.18M","0.28%"
"Feb 03, 2020","56.82","56.63","57.10","56.43","809.40K","0.58%"
"Jan 31, 2020","56.49","56.63","56.74","56.06","1.53M","-0.49%"
"Jan 30, 2020","56.77","56.95","57.42","56.59","1.30M","-0.73%"
"Jan 29, 2020","57.19","58.00","58.24","57.14","1.45M","-0.95%"
"Jan 28, 2020","57.74","56.74","57.84","56.72","1.18M","2.30%"
"Jan 27, 2020","56.44","57.35","57.50","56.44","1.38M","-2.97%"
"Jan 24, 2020","58.17","59.47","59.50","58.01","1.95M","-2.28%"
"Jan 23, 2020","59.53","60.22","60.24","59.12","1.38M","-1.38%"
"Jan 22, 2020","60.36","61.01","61.01","60.26","1.18M","-1.05%"
"Jan 21, 2020","61.00","61.34","61.40","60.55","1.00M","-0.89%"
"Jan 20, 2020","61.55","61.10","61.60","61.01","1.34M","0.54%"
"Jan 17, 2020","61.22","61.64","61.74","60.95","812.35K","-0.26%"
"Jan 16, 2020","61.38","62.75","62.75","61.32","1.26M","-2.01%"
"Jan 15, 2020","62.64","63.00","63.36","62.33","972.32K","-0.87%"
"Jan 14, 2020","63.19","62.65","63.33","62.51","1.17M","0.75%"
"Jan 13, 2020","62.72","61.82","62.72","61.46","2.88M","1.75%"
"Jan 10, 2020","61.64","62.08","62.08","61.12","869.55K","-0.92%"
